comuna,cluster1,cluster2,cluster3
Alhué,False,False,True
Buin,True,False,False
Calera de Tango,True,False,False
Cerrillos,False,True,False
Cerro Navia,False,True,False
Colina,True,False,False
Conchalí,True,False,False
Curacaví,False,True,False
El Bosque,False,True,False
El Monte,False,True,False
Estación Central,False,True,False
Huechuraba,False,False,True
Independencia,False,True,False
Isla de Maipo,False,True,False
La Cisterna,False,True,False
La Florida,True,False,False
La Granja,False,True,False
La Pintana,False,True,False
La Reina,True,False,False
Lampa,True,False,False
Las Condes,False,False,True
Lo Barnechea,False,False,True
Lo Espejo,False,True,False
Lo Prado,True,False,False
Macul,True,False,False
Maipú,False,True,False
María Pinto,True,False,False
Melipilla,True,False,False
Padre Hurtado,False,True,False
Paine,False,True,False
Pedro Aguirre Cerda,False,True,False
Peñaflor,False,True,False
Peñalolén,True,False,False
Pirque,False,True,False
Providencia,False,False,True
Pudahuel,True,False,False
Puente Alto,False,True,False
Quilicura,False,True,False
Quinta Normal,True,False,False
Recoleta,False,True,False
Renca,True,False,False
San Bernardo,True,False,False
San Joaquín,True,False,False
San José de Maipo,True,False,False
San Miguel,True,False,False
San Pedro,False,True,False
San Ramón,False,True,False
Santiago,False,False,True
Talagante,False,True,False
Tiltil,True,False,False
Vitacura,False,False,True
Ñuñoa,True,False,False
